,Date,Prices,Comp,Negative,Neutral,Positive
0,2013-12-31,20.0,0.0,0.0,1.0,0.0
1,2014-01-01,19.5,0.06958333333333333,0.052333333333333336,0.8623333333333333,0.08533333333333333
2,2014-01-02,19.0,0.09985833333333333,0.04641666666666666,0.8855416666666667,0.068
3,2014-01-03,19.0,-0.011772222222222236,0.09811111111111111,0.806,0.09588888888888888
4,2014-01-04,19.0,0.17018,0.0,0.909,0.091
5,2014-01-05,19.0,0.144525,0.04650000000000001,0.86325,0.09
6,2014-01-06,19.0,0.11486086956521739,0.056826086956521735,0.82,0.12317391304347827
7,2014-01-07,19.0,0.19038000000000005,0.05053333333333333,0.8163333333333334,0.13313333333333333
8,2014-01-08,19.0,0.26722222222222225,0.0,0.8802222222222222,0.11977777777777776
9,2014-01-09,19.0,0.09818888888888891,0.07255555555555555,0.799111111111111,0.1282222222222222
10,2014-01-10,19.0,0.059965384615384636,0.024923076923076923,0.9088846153846153,0.06619230769230769
11,2014-01-11,19.0,0.2010166666666667,0.018166666666666668,0.8503333333333334,0.1315
12,2014-01-12,19.0,0.12045,0.0645,0.7879999999999999,0.14725
13,2014-01-13,19.0,0.11311874999999999,0.019,0.9161874999999999,0.06475
14,2014-01-14,19.0,0.04686363636363636,0.03781818181818181,0.8857727272727272,0.07645454545454546
15,2014-01-15,19.0,0.18281351351351355,0.02894594594594595,0.860027027027027,0.11105405405405405
16,2014-01-16,19.0,0.06659444444444446,0.02033333333333333,0.9153888888888889,0.06427777777777778
17,2014-01-19,19.0,0.39546666666666663,0.0,0.8456666666666667,0.15433333333333335
18,2014-01-20,19.0,0.33498,0.019,0.7948000000000001,0.1862
19,2014-01-21,19.0,0.06350769230769229,0.03761538461538461,0.8993076923076924,0.06315384615384616
20,2014-01-22,19.0,0.16545757575757578,0.03590909090909091,0.8581515151515152,0.10593939393939396
21,2014-01-23,19.0,0.09236296296296297,0.026851851851851852,0.9075925925925925,0.06555555555555556
22,2014-01-24,19.0,0.1185054054054054,0.037729729729729725,0.8925135135135136,0.06975675675675676
23,2014-01-25,19.0,0.2107375,0.0071875,0.8958124999999999,0.09700000000000002
24,2014-01-26,19.0,0.05962500000000001,0.048312499999999994,0.8734375,0.07825
25,2014-01-27,19.0,0.11113953488372096,0.02625581395348837,0.8871162790697671,0.0866046511627907
26,2014-01-28,18.0,0.07611717171717174,0.04246464646464646,0.8861111111111111,0.07142424242424243
27,2014-01-29,17.0,0.0038216216216216165,0.05889189189189189,0.8784864864864864,0.06264864864864866
28,2014-01-30,17.0,0.02171904761904762,0.04671428571428572,0.894047619047619,0.05928571428571429
29,2014-01-31,17.0,0.149175,0.020625,0.882375,0.0970625
30,2014-02-01,17.0,0.002866666666666658,0.0502,0.8993333333333332,0.050466666666666674
31,2014-02-02,17.0,0.20515000000000003,0.042666666666666665,0.82625,0.13108333333333336
32,2014-02-03,17.0,0.1197157894736842,0.03189473684210526,0.8664210526315788,0.10168421052631578
33,2014-02-04,18.0,0.12307272727272726,0.03363636363636364,0.8789090909090909,0.08740909090909091
34,2014-02-05,18.0,0.18071111111111113,0.036333333333333336,0.8430555555555554,0.1206111111111111
35,2014-02-06,18.0,0.010899999999999996,0.06285714285714286,0.8637142857142857,0.07342857142857143
36,2014-02-07,18.0,0.1423795918367347,0.035346938775510206,0.8537346938775512,0.11093877551020406
37,2014-02-08,18.0,0.11555,0.05662500000000001,0.8285625000000001,0.1148125
38,2014-02-09,18.0,0.33114000000000005,0.0,0.8547,0.14529999999999998
39,2014-02-10,18.0,0.22838709677419355,0.031000000000000003,0.8260967741935484,0.14293548387096777
40,2014-02-11,19.0,0.2820944444444445,0.024999999999999998,0.8412222222222223,0.13372222222222221
41,2014-02-12,19.0,0.25305294117647065,0.018470588235294114,0.8467058823529412,0.13482352941176473
42,2014-02-13,19.0,0.1626793103448276,0.04472413793103448,0.8436896551724138,0.11158620689655172
43,2014-02-14,19.0,0.19683529411764705,0.006411764705882353,0.8752941176470588,0.11823529411764705
44,2014-02-15,19.0,0.25961428571428574,0.02457142857142857,0.8387857142857144,0.13664285714285715
45,2014-02-16,19.0,0.015725000000000003,0.07629166666666666,0.8299166666666667,0.09379166666666666
46,2014-02-17,19.0,0.07409375000000001,0.021062499999999998,0.92475,0.05425000000000001
47,2014-02-18,19.0,0.06031212121212121,0.024484848484848484,0.9073939393939394,0.06812121212121212
48,2014-02-19,19.0,0.3018916666666667,0.007666666666666666,0.83725,0.15508333333333332
49,2014-02-20,18.0,0.08764,0.037399999999999996,0.8938666666666666,0.06873333333333334
50,2014-02-21,18.0,0.021170000000000005,0.061399999999999996,0.8852,0.05345000000000001
51,2014-02-22,18.0,0.1462285714285714,0.08185714285714286,0.7765714285714286,0.1417142857142857
52,2014-02-23,18.0,-0.06844444444444445,0.07377777777777778,0.8716666666666666,0.05455555555555555
53,2014-02-24,18.0,0.18756428571428568,0.03942857142857143,0.8601428571428571,0.10042857142857144
54,2014-02-25,18.0,0.015179999999999994,0.0509,0.9001499999999998,0.04895
55,2014-02-26,18.0,0.1951133333333333,0.053,0.8156,0.13146666666666668
56,2014-02-27,18.0,0.09289655172413794,0.023413793103448276,0.9196206896551724,0.05696551724137931
57,2014-02-28,18.0,0.13792333333333331,0.028166666666666666,0.8871666666666669,0.08460000000000001
58,2014-03-01,18.0,-0.0038538461538461565,0.03984615384615384,0.9276153846153847,0.032615384615384616
59,2014-03-02,18.0,0.06767499999999999,0.06287500000000001,0.8308749999999998,0.10625000000000001
